wda,wda_number,county,fips_county
DFW,4,Parker,48367
Panhandle,1,Parmer,48369
Permian Basin,11,Pecos,48371
Deep East Texas,17,Polk,48373
Panhandle,1,Potter,48375
Borderplex,10,Presidio,48377
East Texas,8,Rains,48379
Panhandle,1,Randall,48381
Concho Valley,12,Reagan,48383
Middle Rio Grande,27,Real,48385
Northeast Texas,7,Red River,48387
Permian Basin,11,Reeves,48389
Coastal Bend,22,Refugio,48391
Panhandle,1,Roberts,48393
Brazos Valley,16,Robertson,48395
DFW,4,Rockwall,48397
West Central Texas,9,Runnels,48399
East Texas,8,Rusk,48401
Deep East Texas,17,Sabine,48403
Deep East Texas,17,San Augustine,48405
Deep East Texas,17,San Jacinto,48407
Coastal Bend,22,San Patricio,48409
Central Texas,26,San Saba,48411
Concho Valley,12,Schleicher,48413
West Central Texas,9,Scurry,48415
West Central Texas,9,Shackelford,48417
Deep East Texas,17,Shelby,48419
Panhandle,1,Sherman,48421
East Texas,8,Smith,48423
DFW,4,Somervell,48425
Rio Grande Valley,23,Starr,48427
West Central Texas,9,Stephens,48429
Concho Valley,12,Sterling,48431
West Central Texas,9,Stonewall,48433
Concho Valley,12,Sutton,48435
Panhandle,1,Swisher,48437
DFW,4,Tarrant,48439
West Central Texas,9,Taylor,48441
Permian Basin,11,Terrell,48443
South Plains,2,Terry,48445
West Central Texas,9,Throckmorton,48447
Northeast Texas,7,Titus,48449
Concho Valley,12,Tom Green,48451
Greater Austin,15,Travis,48453
Deep East Texas,17,Trinity,48455
Deep East Texas,17,Tyler,48457
East Texas,8,Upshur,48459
Permian Basin,11,Upton,48461
Middle Rio Grande,27,Uvalde,48463
Middle Rio Grande,27,Val Verde,48465
East Texas,8,Van Zandt,48467
Golden Crescent,19,Victoria,48469
Gulf Coast,28,Walker,48471
Gulf Coast,28,Waller,48473
Permian Basin,11,Ward,48475
Brazos Valley,16,Washington,48477
South Texas,21,Webb,48479
Gulf Coast,28,Wharton,48481
Panhandle,1,Wheeler,48483
North Texas,3,Wichita,48485
North Texas,3,Wilbarger,48487
Rio Grande Valley,23,Willacy,48489
Greater Austin,15,Williamson,48491
Alamo,20,Wilson,48493
Permian Basin,11,Winkler,48495
DFW,4,Wise,48497
East Texas,8,Wood,48499
South Plains,2,Yoakum,48501
North Texas,3,Young,48503
South Texas,21,Zapata,48505
Middle Rio Grande,27,Zavala,48507
